                 STARTED     PID    PPID USER     CMD
Tue Jun  3 18:48:52 2025    4067    2635 aiegoo   pipewire -c /run/user/1000/crd_audio#wgJkFo9ezn/pipewire.conf
Tue Jun  3 18:48:52 2025    4068    2635 aiegoo   pipewire -c /run/user/1000/crd_audio#wgJkFo9ezn/pipewire-pulse.conf
Tue Jun  3 18:48:52 2025    4069    2635 aiegoo   wireplumber -c /run/user/1000/crd_audio#wgJkFo9ezn/wireplumber.conf
Tue Jun  3 18:48:52 2025    4078    2911 aiegoo   /usr/libexec/gvfsd
Tue Jun  3 18:48:52 2025    4081    2635 aiegoo   /usr/lib/xorg/Xorg :20 -auth /home/aiegoo/.Xauthority -nolisten tcp -noreset -logfile /dev/null -verbose 3 -configdir /tmp/chrome_remote_desktop_lzocne9x -config /tmp/chrome_remote_desktop_lzocne9x/none
Tue Jun  3 18:48:52 2025    4092    2911 aiegoo   /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
Tue Jun  3 18:48:53 2025    4165    2635 aiegoo   /opt/google/chrome-remote-desktop/chrome-remote-desktop-host --type=xsession_chooser
Tue Jun  3 18:48:53 2025    4167    2635 aiegoo   /opt/google/chrome-remote-desktop/chrome-remote-desktop-host --host-config=- --audio-pipe-name=/run/user/1000/crd_audio#wgJkFo9ezn/fifo_output --ssh-auth-sockname=/tmp/chromoting.aiegoo.ssh_auth_sock --signal-parent
Tue Jun  3 18:48:54 2025    4172       1 aiegoo   /opt/google/chrome-remote-desktop/crashpad-handler --monitor-self-annotation=ptype=crashpad-handler --database=/home/aiegoo/.config/chrome-remote-desktop/crashpad --url=https://clients2.google.com/cr/report --annotation=plat=Linux --annotation=prod=Chromoting_Linux --annotation=ver=135.0.7049.8 --initial-client-fd=4 --shared-client-connection
Tue Jun  3 18:48:54 2025    4174       1 aiegoo   /opt/google/chrome-remote-desktop/crashpad-handler --monitor-self-annotation=ptype=crashpad-handler --database=/home/aiegoo/.config/chrome-remote-desktop/crashpad --url=https://clients2.google.com/cr/report --annotation=plat=Linux --annotation=prod=Chromoting_Linux --annotation=ver=135.0.7049.8 --initial-client-fd=4 --shared-client-connection
Tue Jun  3 18:48:54 2025    4207    2911 aiegoo   /usr/libexec/at-spi-bus-launcher
Tue Jun  3 18:48:54 2025    4210       1 root     /usr/local/bin/cloudflared --no-autoupdate tunnel run --token eyJhIjoiYjZiYzQ4NmNhMzI2ZWZkOWRlMzRlMDZhMDk1YWJmNzEiLCJ0IjoiNjgxZmE3NDktZWVkYi00NmY4LWJhNWMtMzU4ZjA0Y2E0ODQ1IiwicyI6Ik4yWm1PR1UwWVdRdFpERXlOeTAwTXpJNUxXRTJOakF0TkRobVpUTXpNMlV3TldVeiJ9
Tue Jun  3 18:48:54 2025    4216       1 root     /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
Tue Jun  3 18:48:54 2025    4220       1 root     /usr/share/filebeat/bin/filebeat --environment systemd -c /etc/filebeat/filebeat.yml --path.home /usr/share/filebeat --path.config /etc/filebeat --path.data /var/lib/filebeat --path.logs /var/log/filebeat
Tue Jun  3 18:48:54 2025    4223       1 kibana   /usr/share/kibana/bin/../node/bin/node /usr/share/kibana/bin/../src/cli/dist --logging.dest=/var/log/kibana/kibana.log --pid.file=/run/kibana/kibana.pid
Tue Jun  3 18:48:54 2025    4225    4207 aiegoo   /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 10 --address=unix:path=/run/user/1000/at-spi/bus
Tue Jun  3 18:48:55 2025    4265       1 privoxy  /usr/sbin/privoxy --pidfile /run/privoxy.pid --user privoxy /etc/privoxy/config
Tue Jun  3 18:48:55 2025    4303       1 kernoops /usr/sbin/kerneloops --test
Tue Jun  3 18:48:55 2025    4311       1 root     nginx: master process /usr/sbin/nginx -g daemon on; master_process on;
Tue Jun  3 18:48:55 2025    4317    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4318    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4319    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4320    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4321    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4328    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4329    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4330    4311 www-data nginx: worker process
Tue Jun  3 18:48:55 2025    4355    2911 aiegoo   /usr/libexec/at-spi2-registryd --use-gnome-session
Tue Jun  3 18:48:55 2025    4399       1 kernoops /usr/sbin/kerneloops
Tue Jun  3 18:48:55 2025    4412       2 root     [kworker/R-iprt-VBoxWQueue]
Tue Jun  3 18:48:55 2025    4415       2 root     [iprt-VBoxTscThread]
Tue Jun  3 18:48:55 2025    4449       1 root     /usr/sbin/nmbd --foreground --no-process-group
Tue Jun  3 18:48:55 2025    4510       1 root     /usr/sbin/smbd --foreground --no-process-group
Tue Jun  3 18:48:55 2025    4562       1 root     /usr/sbin/vmware-authdlauncher
Tue Jun  3 18:48:55 2025    4577    4510 root     smbd: notifyd .
Tue Jun  3 18:48:55 2025    4581    4510 root     smbd: cleanupd 
Tue Jun  3 18:48:57 2025    5165    3350 aiegoo   /usr/libexec/gnome-session-binary --session=ubuntu
Tue Jun  3 18:48:59 2025    5708    2911 aiegoo   /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
Tue Jun  3 18:48:59 2025    5743    2911 aiegoo   /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
Tue Jun  3 18:48:59 2025    5747    2911 aiegoo   /usr/libexec/gnome-remote-desktop-daemon
Tue Jun  3 18:48:59 2025    5749    2911 aiegoo   /usr/libexec/gnome-session-ctl --monitor
Tue Jun  3 18:48:59 2025    5786    2911 aiegoo   /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
Tue Jun  3 18:49:00 2025    5813    5708 aiegoo   /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
Tue Jun  3 18:49:00 2025    5834    2911 aiegoo   /usr/bin/gnome-shell
Tue Jun  3 18:49:00 2025    5890    2911 aiegoo   /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
Tue Jun  3 18:49:02 2025    5940       2 root     [nvidia-drm/timeline-1d]
Tue Jun  3 18:49:02 2025    5942    5834 aiegoo   /usr/libexec/mutter-x11-frames
Tue Jun  3 18:49:03 2025    5946       1 colord   /usr/libexec/colord
Tue Jun  3 18:49:05 2025    6067    2911 aiegoo   /usr/libexec/gnome-shell-calendar-server
Tue Jun  3 18:49:06 2025    6070    2911 aiegoo   /usr/libexec/dconf-service
Tue Jun  3 18:49:06 2025    6080    2911 aiegoo   /usr/libexec/evolution-source-registry
Tue Jun  3 18:49:06 2025    6094    2911 aiegoo   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
Tue Jun  3 18:49:06 2025    6095       1 root     /usr/libexec/upowerd
Tue Jun  3 18:49:06 2025    6117    2911 aiegoo   /usr/bin/ibus-daemon --panel disable --xim
Tue Jun  3 18:49:06 2025    6118    2911 aiegoo   /usr/libexec/gsd-a11y-settings
Tue Jun  3 18:49:06 2025    6123    2911 aiegoo   /usr/libexec/gsd-color
Tue Jun  3 18:49:06 2025    6127    2911 aiegoo   /usr/libexec/gsd-datetime
Tue Jun  3 18:49:06 2025    6131    2911 aiegoo   /usr/libexec/gsd-housekeeping
Tue Jun  3 18:49:06 2025    6135    2911 aiegoo   /usr/libexec/gsd-keyboard
Tue Jun  3 18:49:06 2025    6138       2 root     [nvidia-drm/timeline-1e]
Tue Jun  3 18:49:06 2025    6139    2911 aiegoo   /usr/libexec/gsd-media-keys
Tue Jun  3 18:49:06 2025    6144    2911 aiegoo   /usr/libexec/gsd-power
Tue Jun  3 18:49:06 2025    6145    2911 aiegoo   /usr/libexec/gsd-print-notifications
Tue Jun  3 18:49:06 2025    6146    5786 aiegoo   /usr/bin/anydesk --tray
Tue Jun  3 18:49:06 2025    6147    2911 aiegoo   /usr/libexec/gsd-rfkill
Tue Jun  3 18:49:06 2025    6157    2911 aiegoo   /usr/libexec/gsd-screensaver-proxy
Tue Jun  3 18:49:06 2025    6158    2911 aiegoo   /usr/libexec/gsd-sharing
Tue Jun  3 18:49:06 2025    6161    5786 aiegoo   /usr/libexec/gsd-disk-utility-notify
Tue Jun  3 18:49:06 2025    6162    2911 aiegoo   /usr/libexec/gsd-smartcard
Tue Jun  3 18:49:06 2025    6173    5786 aiegoo   /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
Tue Jun  3 18:49:06 2025    6197    2911 aiegoo   /usr/libexec/gsd-sound
Tue Jun  3 18:49:06 2025    6202    2911 aiegoo   /usr/libexec/gsd-wacom
Tue Jun  3 18:49:06 2025    6208    2911 aiegoo   /usr/libexec/gsd-xsettings
